stat_week,m,d,user id,stats_trackers_created,stats_sent_notifications_desktop,stats_gmail_insights_viewed,stats_insights_viewed,stats_activities_zapier,stats_stream_viewed
42,10,26,1,1,1,2,0,0,2
42,10,26,2,1,1,2,0,0,3
42,10,26,3,1,1,2,0,0,2
42,10,26,4,1,1,2,0,0,3
42,10,26,5,2,1,2,0,0,5
42,10,26,6,1,2,0,0,0,0
42,10,26,7,1,1,0,0,0,1
42,10,26,8,2,1,36,0,0,1
42,10,26,9,1,3,0,0,0,1
42,10,26,10,2,2,1,0,0,1
42,10,26,11,1,1,0,0,0,1
42,10,26,12,1,1,0,0,0,2
42,10,26,13,1,2,1,0,0,5
42,10,26,14,1,1,9,0,0,3
42,10,26,15,2,3,0,0,0,1
42,10,26,16,1,1,0,0,0,3
42,10,26,17,1,1,1,0,0,3
42,10,26,18,1,2,0,0,0,2
42,10,26,19,1,1,0,0,0,4
42,10,26,20,1,4,0,0,0,5
42,10,26,21,1,0,0,0,0,1
42,10,26,22,2,1,14,0,0,3
42,10,26,23,1,1,2,0,0,2
42,10,26,24,1,1,1,0,0,3
42,10,26,25,1,1,1,0,0,2
42,10,26,26,1,1,0,0,0,0
42,10,26,27,1,1,0,0,0,3
42,10,26,28,4,2,1,0,0,3
42,10,26,29,3,2,0,0,0,2
42,10,26,30,1,1,0,0,0,2
42,10,26,31,1,1,0,0,0,2
42,10,26,32,1,1,3,0,0,5
42,10,26,33,1,1,0,0,0,1
42,10,26,34,1,1,1,0,0,1
42,10,26,35,1,1,4,0,0,5
42,10,26,36,1,1,8,0,0,3
42,10,26,37,1,4,0,0,0,0
42,10,26,38,1,1,0,0,0,1
42,10,26,39,1,1,2,0,0,2
42,10,26,40,2,1,1,0,0,1
42,10,26,41,1,1,1,0,0,1
42,10,26,42,5,1,2,0,0,1
42,10,26,43,1,1,1,0,0,1
42,10,26,44,1,1,0,0,0,3
42,10,26,45,1,2,0,0,0,3
42,10,26,46,2,2,2,0,0,1
42,10,26,47,5,4,1,0,0,2
42,10,26,48,2,3,0,0,0,2
42,10,26,49,1,1,0,0,0,10
42,10,26,50,5,3,6,0,0,10
42,10,26,51,3,1,0,0,0,3
42,10,26,52,2,7,5,0,0,2
42,10,26,53,1,1,2,0,0,3
42,10,26,54,1,1,2,0,0,4
42,10,26,55,1,2,0,0,0,4
42,10,26,56,1,1,1,0,0,5
42,10,26,57,1,2,0,0,0,4
42,10,26,58,2,1,4,0,0,7
42,10,26,59,2,6,0,0,0,0
42,10,26,60,2,1,3,0,0,6
42,10,25,61,4,4,10,0,0,3
